,ratio,rndint,dataset,#trees,rmse,mape,r2,rmse_all,mape_all,r2_all
22,0.05,678.0,Sobol1,1000.0,10.82867698683758,0.011296187042197599,0.9920304879850476,21.204542255136626,0.01716994180281499,0.9479823166577668
23,0.05,678.0,Sobol2,1000.0,15.27663587003253,0.015234457469425856,0.983337222051629,18.0728848149615,0.015136580861393441,0.9610997922388176
24,0.05,147.0,Grid1296,10.0,4.0408100315937405,0.004471452021864895,0.9970745044717704,39.47143089046365,0.0437999800332406,0.8500396564110613
25,0.05,147.0,Grid2401,10.0,22.365195045067964,0.009794135504397287,0.9163493732954121,83.00616565894397,0.08853210753962977,0.3786422934252327
26,0.05,147.0,Sobol1,10.0,11.421008023045749,0.012668326364021855,0.9886646704337239,21.732169094435882,0.018026985663576283,0.944883267086277
27,0.05,147.0,Sobol2,10.0,10.77950637093096,0.011748178232640271,0.9901283038134889,18.680656495429314,0.015648179887936466,0.9583262157292871
28,0.05,147.0,Grid1296,100.0,4.221882011900539,0.004637748280801439,0.9968064423880485,39.510491289844374,0.04385230062591478,0.8497427120623604
29,0.05,147.0,Grid2401,100.0,20.300196164462278,0.00878109921631836,0.931083329403718,83.02887800184489,0.08868867196161005,0.378302212181144
30,0.05,147.0,Sobol1,100.0,11.115905299705279,0.012012693690794619,0.9892622088019276,21.43983209686392,0.01739371670262736,0.9463561332257734
31,0.05,147.0,Sobol2,100.0,10.502215129715188,0.011346103560329421,0.9906296491057994,17.7126434445992,0.014858390736965058,0.9625333010462732
32,0.05,147.0,Grid1296,250.0,4.195812271085022,0.004604727739545983,0.9968457604799575,39.58035554429383,0.04392446891065908,0.8492108586617074
33,0.05,147.0,Grid2401,250.0,19.480078379238073,0.008652168290762796,0.9365392472893287,83.03082089454765,0.08871673471320794,0.3782731161303048
34,0.05,147.0,Sobol1,250.0,10.904998173279282,0.011892739836654915,0.9896658092743921,21.31395731501936,0.017339338119094223,0.9469841780777009
35,0.05,147.0,Sobol2,250.0,10.615399552227615,0.011081030910526138,0.9904265885574725,17.89108037695376,0.014874202986261244,0.9617746206857241
36,0.05,147.0,Grid1296,500.0,4.2260483504360495,0.004613745829674962,0.9968001361922316,39.617899229393196,0.04395739932945629,0.84892466290129
37,0.05,147.0,Grid2401,500.0,19.100751858905568,0.00848462167446924,0.9389866678003594,83.06759074856663,0.08876106061546742,0.3777223358677503
38,0.05,147.0,Sobol1,500.0,10.691611027780226,0.011783072036749718,0.99006628767856,21.287742362182946,0.017339844736226614,0.9471145107567879
39,0.05,147.0,Sobol2,500.0,10.00024849714837,0.010537584509889172,0.9915039782056884,17.850685257838826,0.014866561109402673,0.9619470390679496
40,0.05,147.0,Grid1296,750.0,4.203204740706758,0.004621009153101556,0.9968346359778997,39.64699486121949,0.04397785075779989,0.8487026800823277
41,0.05,147.0,Grid2401,750.0,18.370874036326164,0.0082866078782804,0.9435604609994558,83.04295957839416,0.08874209675743658,0.37809131622363323
42,0.05,147.0,Sobol1,750.0,10.643259411519121,0.011788567907256811,0.9901559327224078,21.235776180166866,0.017304082775862952,0.9473723964907256
43,0.05,147.0,Sobol2,750.0,10.117356523373338,0.01062405821185814,0.9913038275706579,17.873575844979886,0.014863160693610976,0.9618493830846402
44,0.05,147.0,Grid1296,1000.0,4.187329863065274,0.00459643854394159,0.9968585010412013,39.64578654903711,0.043975584593135435,0.848711902047809
45,0.05,147.0,Grid2401,1000.0,18.413543651322627,0.008301897074256642,0.9432979748278228,83.0801977499638,0.08877508512121617,0.3775334378721641
46,0.05,147.0,Sobol1,1000.0,10.72450318998437,0.011826711565540219,0.9900050726049783,21.222080763313393,0.017273411731461928,0.9474402559883934
