,ratio,rndint,dataset,kernel,length_scale,nu,alpha,periodicity,rmse_test,mape_test,r2_test,rmse_interpolation,mape_interpolation,r2_interpolation
37,0.05,561.0,Grid2401,Matern,1.0,1.5,-,-,44.91991040143822,0.0219064617264177,0.4336218941224586,32.908586685666776,0.0392118735869524,0.9015750966017684
38,0.05,561.0,Grid2401,RQ,1.0,-,1.0,-,37.14141823111468,0.0186045867604541,0.612790806437435,87.4670711705007,0.0927189979329129,0.3046944376134717
39,0.05,561.0,Grid2401,ESS,1.0,-,-,1.0,690.1586120270968,1.0,-132.69849461791696,646.3937459578226,0.942792026607696,-36.97351738712009
40,0.05,561.0,Sobol1,RBF,1.0,-,-,-,12.163940074886316,0.0127572679645503,0.9887129124144506,23.7338198631387,0.0196215742081099,0.9345961359661908
41,0.05,561.0,Sobol1,Matern,1.0,1.5,-,-,9.117828521323329,0.0086645762043953,0.993658146701748,20.14934116367485,0.0157975051386798,0.9528599733165768
42,0.05,561.0,Sobol1,RQ,1.0,-,1.0,-,14.23966615535364,0.0136962558187266,0.9845320426383904,20.857863252824245,0.017271837660815,0.9494864658082108
43,0.05,561.0,Sobol1,ESS,1.0,-,-,1.0,661.0525996643418,0.995315789256261,-32.335378159845945,680.4754995197626,0.9937523169891064,-52.764190294129584
44,0.05,561.0,Sobol2,RBF,1.0,-,-,-,21.689085583714075,0.0214845825635243,0.9611690058299328,29.350441819091262,0.0229150622972879,0.8970950964544481
45,0.05,561.0,Sobol2,Matern,1.0,1.5,-,-,13.188742868736126,0.0143629975684798,0.9856417064779676,20.439685913273284,0.0162502093052708,0.9500937176394127
46,0.05,561.0,Sobol2,RQ,1.0,-,1.0,-,20.108449314755287,0.0202304526908985,0.9666225475114476,20.07998623559198,0.0166592521635117,0.9518347736989038
47,0.05,561.0,Sobol2,ESS,1.0,-,-,1.0,651.5472488020029,0.9710999828132396,-34.04191689954806,675.510920316934,0.9817005947288512,-53.509416363987
48,0.05,237.0,Grid1296,RBF,1.0,-,-,-,659.424362644377,0.999999999999996,-63.02657426323961,679.1027865185016,0.99997356142503,-43.33079577981234
49,0.05,237.0,Grid1296,Matern,1.0,1.5,-,-,11.327855649684782,0.0114239280909382,0.981105922108232,66.54968328511283,0.0605681002571507,0.5742776131920548
