,ratio,rndint,dataset,kernel,mape_ist,r2_ist,mape_ost,r2_ost
42,0.05,237.0,Sobol1,Matern,0.011147815011059442,0.9895142505202541,0.01616219991828224,0.9502181095276531
43,0.05,237.0,Sobol2,Matern,0.01451261650559901,0.9795656476980165,0.016234133325368955,0.9494443738528209
44,0.05,237.0,Grid1296,RQ,0.02235838005238359,0.9071694974924255,0.05909709973822008,0.7582401020248265
45,0.05,237.0,Grid2401,RQ,0.012451468909123771,0.9494171105954605,0.09549147280937478,0.2844956342577606
46,0.05,237.0,Sobol1,RQ,0.0159798595965783,0.9772894908833265,0.017660217697541763,0.9470570758140893
47,0.05,237.0,Sobol2,RQ,0.017692707243511734,0.9773662303552983,0.016531665579833456,0.9519663829099781
48,0.05,588.0,Grid1296,RBF,0.027718694378203266,0.6476539146627595,0.5743512637943281,-17.372222067375187
49,0.05,588.0,Grid2401,RBF,0.0595247003603119,-0.5123949142783215,0.6966766593248589,-21.785590467908932
50,0.05,588.0,Sobol1,RBF,0.012847001459465534,0.989072478242839,0.020226143227784654,0.9269822291588469
51,0.05,588.0,Sobol2,RBF,0.017892043573231226,0.9804198895923761,0.022438805154477284,0.9011903001787656
52,0.05,588.0,Grid1296,Matern,0.006490304381903928,0.991695885262364,0.0619276322908849,0.5538918605639754
53,0.05,588.0,Grid2401,Matern,0.019503140574055916,0.7461628388960836,0.04482568483657594,0.8756221545530346
54,0.05,588.0,Sobol1,Matern,0.008520820861053054,0.9953724980433957,0.01599121298168239,0.9510803938186361
55,0.05,588.0,Sobol2,Matern,0.010339425674933704,0.9922320153826207,0.016262824795115146,0.9495563103088891
56,0.05,588.0,Grid1296,RQ,0.006242127786522617,0.9905503723420503,0.058397200975277716,0.7649357266953919
57,0.05,588.0,Grid2401,RQ,0.015759205397249003,0.8942176142191469,0.0949595912864786,0.2914492315176166
58,0.05,588.0,Sobol1,RQ,0.015380068166323101,0.983170488327305,0.01745058340056647,0.9479162556561952
59,0.05,588.0,Sobol2,RQ,0.014805351838239321,0.9877814336471228,0.01665200071679898,0.951410441368208
60,0.05,951.0,Grid1296,RBF,0.027954638195315604,0.8429065403406311,0.5800812733093651,-17.689862181344186
61,0.05,951.0,Grid2401,RBF,0.05945348810098006,-0.8181773609244445,0.707305427251108,-22.401912710487885
62,0.05,951.0,Sobol1,RBF,0.01836637687926962,0.9858902902980415,0.019466842738911357,0.9338528941498407
63,0.05,951.0,Sobol2,RBF,0.025637786161851504,0.9666012266098253,0.022689036160590585,0.9013932277126676
64,0.05,951.0,Grid1296,Matern,0.00870109567798717,0.9893984112603844,0.061602763631242896,0.561946455471656
65,0.05,951.0,Grid2401,Matern,0.013487597096703129,0.8734435542028196,0.04727260222734889,0.8649259694925695
66,0.05,951.0,Sobol1,Matern,0.015490053803364032,0.9896786639940653,0.015841137385072493,0.9518196546304469
67,0.05,951.0,Sobol2,Matern,0.02292487984538518,0.9664312058730881,0.01621351940085461,0.9496782907722575
68,0.05,951.0,Grid1296,RQ,0.01767162880104369,0.9331984604159107,0.058929833047804726,0.7603087162933991
69,0.05,951.0,Grid2401,RQ,0.010408314723000285,0.9722881570188999,0.09498666795864057,0.2914772331540929
70,0.05,951.0,Sobol1,RQ,0.02374765370755319,0.976538797337247,0.017317024468623925,0.9483660133408734
71,0.05,951.0,Sobol2,RQ,0.02671216851655229,0.9476949672276357,0.016494908915715742,0.9521421390421098
72,0.05,490.0,Grid1296,RBF,0.014758365195279318,0.9557760830885607,0.5580987776761063,-16.43139230983606
73,0.05,490.0,Grid2401,RBF,0.07058434299675188,-0.9566913711254257,0.7066146008367581,-22.3445312279517
74,0.05,490.0,Sobol1,RBF,0.009710788927549686,0.9948536833142525,0.020103492992816715,0.9291532957426463
75,0.05,490.0,Sobol2,RBF,0.02923489197500222,0.9206328794178771,0.022344155338158526,0.8957597573936761
