,ratio,rndint,dataset,kernel,length_scale,nu,alpha,periodicity,rmse_test,mape_test,r2_test,rmse_interpolation,mape_interpolation,r2_interpolation
48,0.45,237.0,Grid1296,RBF,1.0,-,-,-,676.3469077921447,0.999999999999998,-73.94472240576799,679.0557523274184,0.9999792677676076,-44.781736652798365
49,0.45,237.0,Grid1296,Matern,1.0,1.5,-,-,10.997614635591356,0.010500192141992003,0.9801847738650019,58.988076284202414,0.05543117964180367,0.6545303784008936
50,0.45,237.0,Grid1296,RQ,1.0,-,1.0,-,25.132690671603775,0.019744369446640972,0.8965143790750684,54.104265477202475,0.06142468933786825,0.7093673454190161
51,0.45,237.0,Grid1296,ESS,1.0,-,-,1.0,19.441075499015415,0.020156631237554255,0.9380783370098933,260.19295230342476,0.3147030625138891,-5.721596772663282
52,0.45,237.0,Grid2401,RBF,1.0,-,-,-,705.4603506445163,0.9999999999999977,-98.8342279718531,675.5013879064754,0.9999041457082072,-42.65769300629966
53,0.45,237.0,Grid2401,Matern,1.0,1.5,-,-,33.45232261960171,0.020512770308617184,0.7755152738498741,33.802993639144965,0.03704242527932388,0.8906752183325338
54,0.45,237.0,Grid2401,RQ,1.0,-,1.0,-,26.950704890354917,0.018155634733051002,0.8542949845926521,86.62854071333334,0.08821215093431546,0.28199033778854443
55,0.45,237.0,Grid2401,ESS,1.0,-,-,1.0,110.1101316864155,0.0875983639251486,-1.432141331316533,407.407532292192,0.5310898043735286,-14.8805814485539
56,0.45,237.0,Sobol1,RBF,1.0,-,-,-,665.6162650316993,0.9999999999989686,-33.84255598105582,680.6272245501692,0.999844545213413,-49.034615946797146
57,0.45,237.0,Sobol1,Matern,1.0,1.5,-,-,13.627220720921397,0.013431747418694007,0.9853958348556068,20.052742594463755,0.016768832230337396,0.9565690333499015
58,0.45,237.0,Sobol1,RQ,1.0,-,1.0,-,22.065593452433795,0.022104480181425714,0.9617092935240337,23.295981506850627,0.02099702883523954,0.9413842989902731
59,0.45,237.0,Sobol1,ESS,1.0,-,-,1.0,15.439583988966533,0.015964189976377198,0.9812529324847205,23.427012138571573,0.020249919270418994,0.9407230645988547
60,0.45,237.0,Sobol2,RBF,1.0,-,-,-,26.605945924793485,0.025241558286805306,0.945742216882997,31.765133683044706,0.02598630323139254,0.8878916926423788
61,0.45,237.0,Sobol2,Matern,1.0,1.5,-,-,18.56797847021319,0.017696378523874737,0.9735738506656241,21.51137130541251,0.01831919783467618,0.948587039315806
62,0.45,237.0,Sobol2,RQ,1.0,-,1.0,-,24.540044389706928,0.025222170163167065,0.9538411133565938,22.69338052827219,0.021155830865725533,0.9427817182614288
63,0.45,237.0,Sobol2,ESS,1.0,-,-,1.0,26.605947486242886,0.025241559648428447,0.9457422105144366,31.76513528059934,0.025986304658200007,0.8878916813659175
64,0.45,588.0,Grid1296,RBF,1.0,-,-,-,24.632588014536406,0.023671842738557648,0.8753740283479716,254.48289774615174,0.30704409441502195,-5.494193058995198
65,0.45,588.0,Grid1296,Matern,1.0,1.5,-,-,7.55114907634233,0.007894841233454374,0.9882884450773495,60.12476986048797,0.05443335022862611,0.637494294347515
66,0.45,588.0,Grid1296,RQ,1.0,-,1.0,-,15.05073680988184,0.013287642059724394,0.9534731132507092,50.22335062561385,0.057891671246268005,0.7470589257902048
67,0.45,588.0,Grid1296,ESS,1.0,-,-,1.0,6.5894071348039684,0.0064804383317451,0.9910817189517632,63.24866724751649,0.051100877417261735,0.5988463484619075
