,target,minMAPE-0,AbsDiffs-0,RelDiffs-0,minMAPE-1,AbsDiffs-1,RelDiffs-1,minMAPE-2,AbsDiffs-2,RelDiffs-2,minMAPE-3,AbsDiffs-3,RelDiffs-3,minMAPE-4,AbsDiffs-4,RelDiffs-4,minMAPE-5,AbsDiffs-5,RelDiffs-5,minMAPE-6,AbsDiffs-6,RelDiffs-6,minMAPE-7,AbsDiffs-7,RelDiffs-7,minMAPE-8,AbsDiffs-8,RelDiffs-8,minMAPE-9,AbsDiffs-9,RelDiffs-9,minMAPE-10,AbsDiffs-10,RelDiffs-10,minMAPE-11,AbsDiffs-11,RelDiffs-11
14,1.257,1.6294,0.37240000000000006,0.29626093874303905,1.6739,0.41690000000000005,0.3316626889419253,1.33384,0.07684000000000002,0.061129673826571224,0.98637,-0.2706299999999999,-0.21529832935560855,2.4631,1.2061,0.9595067621320605,1.6422999999999999,0.3853,0.30652346857597457,2.3950999999999993,1.1380999999999994,0.9054097056483688,1.5838300000000003,0.3268300000000004,0.26000795544948324,2.3803,1.1233000000000002,0.8936356404136836,2.4718,1.2148,0.9664280031821799,1.6286,0.37160000000000015,0.29562450278440744,2.3977000000000004,1.1407000000000005,0.9074781225139225
15,1.128,1.5281000000000002,0.40010000000000034,0.35469858156028405,1.574,0.4460000000000002,0.395390070921986,1.21499,0.08699000000000012,0.07711879432624125,0.8724257,-0.2555742999999999,-0.22657296099290775,2.3659999999999997,1.2379999999999998,1.0975177304964538,1.5416999999999998,0.41369999999999996,0.36675531914893617,2.3020999999999994,1.1740999999999995,1.0408687943262407,1.48143,0.35343000000000013,0.31332446808510656,2.2866,1.1586,1.0271276595744683,2.3736999999999995,1.2456999999999996,1.1043439716312053,1.5257,0.39770000000000016,0.3525709219858158,2.3050999999999995,1.1770999999999996,1.043528368794326
16,1.047,1.2392000000000003,0.19220000000000037,0.18357211079274152,1.2741,0.22710000000000008,0.2169054441260746,0.94068,-0.10631999999999997,-0.10154727793696273,0.804239,-0.2427609999999999,-0.23186341929321863,1.6677999999999997,0.6207999999999998,0.5929321872015281,1.2436999999999998,0.19669999999999987,0.18787010506208204,1.6613999999999995,0.6143999999999996,0.5868194842406873,1.1661300000000003,0.1191300000000004,0.11378223495702044,1.6384999999999996,0.5914999999999997,0.56494746895893,1.6765999999999996,0.6295999999999997,0.6013371537726836,1.2170999999999998,0.17009999999999992,0.16246418338108876,1.6629999999999994,0.6159999999999994,0.5883476599808973
17,1.37,1.8059000000000003,0.4359000000000002,0.3181751824817519,1.8616,0.4915999999999998,0.358832116788321,1.49597,0.12596999999999992,0.09194890510948898,0.98017,-0.3898300000000001,-0.28454744525547454,3.0080999999999998,1.6380999999999997,1.195693430656934,1.8242,0.45419999999999994,0.3315328467153284,2.8711,1.5011,1.0956934306569344,1.7708300000000001,0.40083,0.2925766423357664,2.863199999999999,1.493199999999999,1.0899270072992693,3.0220000000000002,1.6520000000000001,1.205839416058394,1.8142,0.44419999999999993,0.3242335766423357,2.8717000000000006,1.5017000000000005,1.096131386861314
18,1.368,1.795,0.4269999999999998,0.31213450292397643,1.8465,0.4784999999999999,0.34978070175438586,1.42652,0.058519999999999905,0.042777777777777706,1.11745,-0.25055000000000005,-0.18315058479532165,2.5755,1.2074999999999998,0.882675438596491,1.8082999999999998,0.4402999999999997,0.32185672514619856,2.527799999999999,1.159799999999999,0.8478070175438589,1.72573,0.3577299999999999,0.2614985380116958,2.5065999999999997,1.1385999999999996,0.8323099415204674,2.5832999999999995,1.2152999999999994,0.8883771929824557,1.7854,0.4174,0.30511695906432745,2.5325000000000006,1.1645000000000005,0.8512426900584799
19,1.181,1.3372000000000002,0.15620000000000012,0.13226079593564785,1.3789,0.19789999999999996,0.16756985605419134,1.00628,-0.17472,-0.14794242167654528,0.887896,-0.29310400000000003,-0.24818289585097378,1.7398999999999996,0.5588999999999995,0.47324301439458044,1.3444,0.1634,0.13835732430143943,1.7451999999999996,0.5641999999999996,0.47773073666384386,1.2532300000000003,0.07223000000000024,0.06116003386960223,1.7195,0.5385,0.455969517358171,1.7442000000000002,0.5632000000000001,0.4768839966130399,1.3123999999999998,0.13139999999999974,0.11126164267569834,1.7488000000000001,0.5678000000000001,0.4807790008467401
20,0.888,1.3577,0.4696999999999999,0.0,1.3989,0.5109,0.0,1.13125,0.24325000000000008,0.0,0.71314,-0.17486000000000002,0.0,2.2984,1.4104,0.0,1.3709,0.4829,0.0,2.1856999999999998,1.2976999999999999,0.0,1.33413,0.44613,0.0,2.1821,1.2941000000000003,0.0,2.309,1.4210000000000003,0.0,1.3645999999999998,0.4765999999999998,0.0,2.1849,1.2969,0.0
21,2.381,2.4474,0.06640000000000024,0.027887442251155078,2.4897,0.10870000000000024,0.04565308693826134,2.11487,-0.26613,-0.11177236455270895,1.9553500000000001,-0.42564999999999964,-0.17876942461150763,2.9165,0.5355000000000003,0.22490550188996236,2.4558999999999997,0.07489999999999997,0.03145737085258294,2.941699999999999,0.5606999999999993,0.23548929021419546,2.37223,-0.008769999999999722,-0.003683326333473214,2.9092000000000002,0.5282000000000004,0.22183956320873605,2.9212999999999996,0.5402999999999998,0.2269214615707685,2.4291,0.048100000000000254,0.020201595968080747,2.9476999999999993,0.5666999999999995,0.23800923981520353
22,1.011,1.1862,0.17520000000000002,0.1732937685459941,1.2213,0.21030000000000015,0.20801186943620195,0.89426,-0.11673999999999984,-0.11546983184965366,0.7540800000000001,-0.2569199999999998,-0.2541246290801185,1.6170999999999998,0.6060999999999999,0.599505440158259,1.1924,0.1814,0.17942631058358063,1.6129999999999995,0.6019999999999996,0.5954500494559839,1.11883,0.10783000000000009,0.10665677546983195,1.5923999999999996,0.5813999999999997,0.5750741839762609,1.6219999999999999,0.611,0.6043521266073195,1.1711,0.16010000000000013,0.15835806132542052,1.6174,0.6064,0.5998021760633038
23,1.421,1.8366000000000002,0.4156000000000002,0.2924700914848699,1.8892,0.46819999999999995,0.32948627726952845,1.47157,0.050570000000000004,0.03558761435608727,1.16769,-0.25331000000000015,-0.17826178747361024,2.6052999999999997,1.1842999999999997,0.8334271639690356,1.8499,0.42890000000000006,0.3018296973961999,2.5654000000000003,1.1444000000000003,0.8053483462350459,1.77053,0.3495299999999999,0.24597466572836024,2.5420999999999996,1.1210999999999995,0.7889514426460236,2.6129999999999995,1.1919999999999995,0.8388458831808582,1.8266,0.40559999999999996,0.285432793807178,2.5676000000000005,1.1466000000000005,0.8068965517241382
