,SigC,SigH,EpsC,EpsH,density
766,0.15,0.091,0.8215,0.08,641.268
767,0.15,0.091,0.8215,0.1,643.304
768,0.15,0.091,0.8215,0.12,644.137
769,0.15,0.091,0.8215,0.14,642.804
770,0.15,0.091,0.9858,0.02,650.03
771,0.15,0.091,0.9858,0.04,645.032
772,0.15,0.091,0.9858,0.06,645.456
773,0.15,0.091,0.9858,0.08,642.505
774,0.15,0.091,0.9858,0.1,646.88
775,0.15,0.091,0.9858,0.12,645.601
776,0.15,0.091,0.9858,0.14,647.627
777,0.15,0.091,1.1501,0.02,646.275
778,0.15,0.091,1.1501,0.04,644.084
779,0.15,0.091,1.1501,0.06,648.183
780,0.15,0.091,1.1501,0.08,644.516
781,0.15,0.091,1.1501,0.1,646.129
782,0.15,0.091,1.1501,0.12,648.188
783,0.15,0.091,1.1501,0.14,645.138
784,0.15,0.1365,0.1643,0.02,641.049
785,0.15,0.1365,0.1643,0.04,643.004
