,target,maxR2-0,AbsDiffs-0,RelDiffs-0,maxR2-1,AbsDiffs-1,RelDiffs-1,maxR2-2,AbsDiffs-2,RelDiffs-2,maxR2-3,AbsDiffs-3,RelDiffs-3,maxR2-4,AbsDiffs-4,RelDiffs-4,maxR2-5,AbsDiffs-5,RelDiffs-5,maxR2-6,AbsDiffs-6,RelDiffs-6,maxR2-7,AbsDiffs-7,RelDiffs-7,maxR2-8,AbsDiffs-8,RelDiffs-8,maxR2-9,AbsDiffs-9,RelDiffs-9,maxR2-10,AbsDiffs-10,RelDiffs-10,maxR2-11,AbsDiffs-11,RelDiffs-11
29,2.608,2.03245,-0.5755500000000002,-0.22068634969325163,2.5579,-0.05010000000000003,-0.019210122699386514,2.9885,0.38050000000000006,0.14589723926380369,3.0107999999999997,0.4027999999999996,0.15444785276073603,2.9842000000000004,0.3762000000000003,0.14424846625766882,2.20457,-0.4034300000000002,-0.15468941717791418,3.0341000000000005,0.42610000000000037,0.16338190184049092,2.5173,-0.0907,-0.03477760736196319,2.9964000000000004,0.3884000000000003,0.14892638036809827,2.4504300000000003,-0.15756999999999977,-0.060417944785275984,2.24011,-0.36789000000000005,-0.1410621165644172,2.5129,-0.09509999999999996,-0.03646472392638035
30,3.153,2.41105,-0.7419500000000001,-0.2353155724706629,3.1713000000000005,0.018300000000000427,0.005803996194100992,3.8114,0.6583999999999999,0.2088169996828417,3.8293999999999997,0.6763999999999997,0.21452584839835068,3.796500000000001,0.6435000000000008,0.20409134157944842,2.65717,-0.4958300000000002,-0.157256581033936,3.8757,0.7227000000000001,0.22921027592768795,3.1135,-0.03949999999999987,-0.012527751347922571,3.813900000000001,0.6609000000000012,0.2096098953377739,3.01403,-0.13897000000000004,-0.04407548366634952,2.7067099999999997,-0.4462900000000003,-0.14154456073580726,3.1068,-0.04620000000000024,-0.014652711703139943
31,2.923,2.23555,-0.6874500000000001,-0.2351864522750599,2.9923,0.06930000000000014,0.023708518645227553,3.6137000000000006,0.6907000000000005,0.23629832364009598,3.629299999999999,0.7062999999999988,0.2416353061922678,3.598,0.6749999999999998,0.23092712966130682,2.45997,-0.46302999999999983,-0.15840916866233315,3.6793999999999993,0.7563999999999993,0.2587752309271294,2.9326,0.009599999999999831,0.0032842969551829734,3.6163999999999996,0.6933999999999996,0.23722203215874088,2.82263,-0.10036999999999985,-0.034338008894970865,2.51721,-0.4057900000000001,-0.13882654806705444,2.9257999999999997,0.0027999999999996916,0.0009579199452616119
32,1.876,1.36737,-0.5086299999999999,-0.2711247334754797,2.0915,0.21550000000000002,0.11487206823027721,2.6426999999999996,0.7666999999999997,0.408688699360341,2.6465999999999994,0.7705999999999995,0.4107675906183367,2.6223,0.7463000000000002,0.397814498933902,1.55377,-0.3222299999999998,-0.1717643923240937,2.7017000000000007,0.8257000000000008,0.44013859275053346,2.0323,0.15630000000000033,0.08331556503198312,2.6375,0.7615000000000003,0.40591684434968034,1.91243,0.036430000000000184,0.019418976545842317,1.6211099999999998,-0.25489000000000006,-0.13586886993603414,2.0244999999999997,0.14849999999999985,0.0791577825159914
33,3.011,2.44075,-0.5702500000000001,-0.18938890733975428,3.1726,0.16159999999999997,0.05366987711723679,3.8023,0.7912999999999997,0.2628030554633011,3.823599999999999,0.8125999999999989,0.269877117236798,3.7901,0.7790999999999997,0.2587512454334107,2.6625699999999997,-0.34843000000000046,-0.11571903022251759,3.8686000000000007,0.8576000000000006,0.2848223181667222,3.1158,0.1048,0.03480571238791099,3.8076,0.7965999999999998,0.2645632680172699,3.01623,0.005230000000000068,0.0017369644636333669,2.72071,-0.29029000000000016,-0.09640983062105618,3.1094,0.09839999999999982,0.032680172700099576
34,3.129,2.2367500000000002,-0.8922499999999998,-0.28515500159795454,3.2032000000000007,0.07420000000000071,0.023713646532438706,3.918,0.7890000000000001,0.25215723873442,3.9217999999999993,0.7927999999999993,0.25337168424416723,3.887900000000001,0.758900000000001,0.2425375519335254,2.44057,-0.6884299999999999,-0.22001597954618085,3.9956999999999994,0.8666999999999994,0.2769894534995204,3.1245000000000003,-0.0044999999999997264,-0.0014381591562798743,3.9122000000000012,0.7832000000000012,0.2503036113774373,2.95603,-0.17296999999999985,-0.0552796420581655,2.54941,-0.57959,-0.1852317034196229,3.1168999999999993,-0.012100000000000666,-0.0038670501757752207
35,2.963,2.30995,-0.6530499999999999,-0.22040161997975022,3.0548,0.0918000000000001,0.03098211272359099,3.7223999999999995,0.7593999999999994,0.2562942963212958,3.729799999999999,0.766799999999999,0.2587917651029359,3.7010999999999994,0.7380999999999993,0.2491056361795475,2.5653699999999997,-0.39763000000000037,-0.13419844751940613,3.7863000000000007,0.8233000000000006,0.27786027674654085,2.998,0.03500000000000014,0.011812352345595727,3.7191,0.7561,0.25518056024299696,2.90513,-0.057869999999999866,-0.019530880863989155,2.60771,-0.3552900000000001,-0.1199088761390483,2.9924,0.02939999999999987,0.009922375970300327
36,3.588,2.71885,-0.8691499999999999,-0.2422380156075808,3.6568000000000005,0.06880000000000042,0.01917502787068016,4.4646,0.8765999999999998,0.24431438127090296,4.477599999999999,0.8895999999999988,0.24793756967669978,4.44,0.8520000000000003,0.2374581939799332,3.0024699999999998,-0.5855300000000003,-0.163191192865106,4.5463000000000005,0.9583000000000004,0.26708472686733564,3.5835999999999997,-0.004400000000000404,-0.0012263099219622083,4.463400000000001,0.8754000000000008,0.2439799331103681,3.45363,-0.1343700000000001,-0.03744983277591976,3.07431,-0.51369,-0.14316889632107022,3.5755,-0.012500000000000178,-0.0034838350055741854
37,3.323,2.5997500000000002,-0.7232499999999997,-0.21764971411375256,3.3824000000000005,0.05940000000000056,0.017875413782726623,3.9545000000000003,0.6315000000000004,0.1900391212759556,3.9926999999999992,0.6696999999999993,0.20153475774902177,3.9530000000000003,0.6300000000000003,0.18958772193800794,2.80617,-0.5168300000000001,-0.15553114655431843,4.021000000000001,0.6980000000000008,0.2100511585916343,3.3194,-0.0036000000000000476,-0.0010833584110743447,3.969400000000001,0.6464000000000012,0.1945230213662357,3.19753,-0.12546999999999997,-0.03775804995486006,2.8841099999999997,-0.4388900000000002,-0.1320764369545592,3.3117,-0.011299999999999866,-0.003400541679205497
38,3.093,2.37535,-0.7176499999999999,-0.2320239249919172,3.1321000000000003,0.03910000000000036,0.012641448431943213,3.7634999999999996,0.6704999999999997,0.21677982541222104,3.778599999999999,0.6855999999999991,0.22166181700614263,3.748400000000001,0.6554000000000011,0.21189783381829974,2.61777,-0.4752299999999998,-0.15364694471386997,3.8269,0.7339000000000002,0.2372777238926609,3.0730000000000004,-0.019999999999999574,-0.006466214031684311,3.7657999999999996,0.6727999999999996,0.21752344002586474,2.97163,-0.12136999999999976,-0.039240219851277,2.66941,-0.4235899999999999,-0.13695118008406076,3.0672999999999995,-0.0257000000000005,-0.008309085030714678
