,ratio,rndint,dataset,mape_ist,r2_ist,mape_ost,r2_ost
59,0.05,593.0,Sobol1,0.0098072159760443,0.9898285941767851,0.0174400127610048,0.9458822627301436
60,0.2,490.0,Sobol1,0.0098075970704915,0.993169402201105,0.017426094209832,0.9464400682117386
61,0.1,936.0,Sobol1,0.0098140396104683,0.9914626137450916,0.0172764162369883,0.9466630020226904
62,0.05,593.0,Sobol1,0.009829764182836,0.9896976900307122,0.0174356218411813,0.9459162863626324
63,0.05,930.0,Sobol1,0.0098317485678085,0.992981598818444,0.017921777324607,0.9436356283134056
64,0.05,510.0,Sobol1,0.0098492412220717,0.9904983543915976,0.0176279482173188,0.94581123787306
65,0.05,510.0,Sobol1,0.0098531831565523,0.9904989307934556,0.0176231178832406,0.945836173515939
66,0.1,16.0,Sobol1,0.0098535929841714,0.9916939885197164,0.0175032931530919,0.9465856037806876
67,0.05,829.0,Sobol1,0.0098538267994427,0.9915750344126144,0.0174997840300488,0.9462518822365712
68,0.2,490.0,Sobol1,0.0098753382809369,0.9930565700856268,0.017434042116645,0.94660348120673
69,0.05,593.0,Sobol1,0.0098886929027622,0.9896588481364564,0.0174468678340564,0.9459031527980888
70,0.05,510.0,Sobol1,0.009890562711551,0.9905020383627332,0.0175922992904046,0.9459826942297755
71,0.05,272.0,Sobol1,0.0098959982860047,0.9937275288173768,0.0173494900754346,0.9470135901525548
72,0.2,928.0,Sobol1,0.0098979005924693,0.9918702263591976,0.0174779769581229,0.9461789432228356
73,0.1,222.0,Sobol1,0.0099092900643959,0.9904918862661392,0.0174648274022364,0.9467759856504522
74,0.2,928.0,Sobol1,0.0099309968062362,0.9918209769734462,0.0176700889312066,0.945002041789286
75,0.15,928.0,Sobol1,0.0099530379035718,0.9921593226244646,0.0173360390521808,0.9464152787536768
76,0.15,222.0,Sobol1,0.0099574127024774,0.987882170817453,0.0174521958025492,0.946949531052096
77,0.1,78.0,Sobol1,0.0099593308117894,0.9913578976229466,0.0172327621633729,0.9468510750718016
78,0.05,829.0,Sobol1,0.0099603489213246,0.9916231526884248,0.0174601676825069,0.945948948969182
79,0.05,272.0,Sobol1,0.0099607648366342,0.9936053281641116,0.0173329749864253,0.947101039341076
80,0.15,928.0,Sobol1,0.0099610039584397,0.992159217546254,0.0173291083212641,0.946398586060712
81,0.1,791.0,Sobol1,0.0099643226588988,0.992931571636144,0.0174430920264834,0.9470621171664284
82,0.05,829.0,Sobol1,0.0099656441045319,0.99167789856778,0.0174708928750131,0.9459789950024368
83,0.2,725.0,Sobol1,0.0099742540124132,0.9890551673053264,0.0173834753613671,0.9470342388835952
84,0.1,791.0,Sobol1,0.0099917007644292,0.993051628668105,0.0175076679860473,0.946875627066086
85,0.15,222.0,Sobol1,0.0099965760225559,0.9877667953061384,0.0174817005726565,0.9469736662648242
86,0.05,510.0,Sobol1,0.0100018878441828,0.990606313487683,0.0175980964975698,0.9458858177253776
87,0.1,791.0,Sobol1,0.0100018977684792,0.9929906675484464,0.0174116913612595,0.947265378920654
88,0.1,222.0,Sobol1,0.0100019779244562,0.9902598950821304,0.0175163780617433,0.9465686403660726
89,0.15,928.0,Sobol1,0.0100026612096669,0.9920779181529172,0.0173398807288053,0.9464419596208864
90,0.1,791.0,Sobol1,0.0100029621018957,0.992973400471078,0.017427371243737,0.9471304300408936
91,0.05,272.0,Sobol1,0.0100041167185234,0.9935794387788556,0.0173493219242804,0.9470168037177152
92,0.2,725.0,Sobol1,0.0100060184742459,0.9890342594630588,0.0174188103939658,0.9468946628516748
93,0.05,111.0,Sobol1,0.0100060359029541,0.9913407850078256,0.0172951386164748,0.9476344576068808
94,0.15,928.0,Sobol1,0.010006698098963,0.992004550374424,0.0173192372542924,0.9469556538435856
95,0.15,222.0,Sobol1,0.0100069953254317,0.9878782666719016,0.0173662999250402,0.9471666435097972
96,0.1,791.0,Sobol1,0.0100143621787438,0.9930757948011504,0.0174928456767139,0.9471194037927316
97,0.15,222.0,Sobol1,0.010014672148174,0.9877252993666882,0.0174574758265903,0.9471044284830024
98,0.2,928.0,Sobol1,0.0100153305861922,0.9916315729372308,0.0174669620015437,0.946092989625696
99,0.05,829.0,Sobol1,0.0100168688857506,0.9916109473568668,0.0174590706641455,0.945933707196844
100,0.1,78.0,Sobol1,0.0100272403870986,0.9912670943039978,0.0172407987862018,0.946850062506626
101,0.1,561.0,Sobol1,0.0100306038507368,0.993724644835684,0.0177148207297278,0.9463148557188362
102,0.2,928.0,Sobol1,0.0100328831020655,0.9915806041720324,0.017468188350668,0.9460271007450776
103,0.2,928.0,Sobol1,0.0100373293119187,0.9915953289814086,0.0174759129217398,0.9460820421819942
104,0.25,490.0,Sobol1,0.010038430312216,0.9922723473287848,0.0175836639924184,0.9465671228982644
105,0.15,490.0,Sobol1,0.0100407801393842,0.9932634828087687,0.0174597737392986,0.9462420250005824
106,0.1,561.0,Sobol1,0.0100440621265699,0.9935792640762652,0.0177051398072938,0.9462607479391988
107,0.1,936.0,Sobol1,0.0100459041986253,0.9912663406349908,0.0173582672391058,0.946727736207372
108,0.05,829.0,Sobol1,0.0100461870440333,0.991533045962148,0.0174507207769119,0.9461922299355944
109,0.1,222.0,Sobol1,0.0100481241800043,0.99005291197539,0.0175350044162441,0.9463591203373478
110,0.1,561.0,Sobol1,0.0100488914280707,0.993668683652376,0.0176818444745999,0.94615399900672
111,0.2,725.0,Sobol1,0.0100515327092247,0.9888396975854206,0.0174240409481789,0.9469220139634362
112,0.15,222.0,Sobol1,0.0100544059794573,0.9876913186826384,0.0174753870011724,0.9469397472352684
113,0.1,78.0,Sobol1,0.010054525892214,0.9913115660664188,0.0172435653852984,0.9469895073306074
