,ratio,rndint,dataset,mape_test,r2_test,mape_interpolation,r2_interpolation
69,0.05,854.0,Sobol2,0.0048210788641408,0.9978436114991568,0.0137746415513949,0.9578569753935704
70,0.05,530.0,Sobol1,0.0048226109518384,0.9978883956486178,0.0156812960402757,0.9456829857926254
71,0.1,395.0,Sobol1,0.0048268476725563,0.9979315805285768,0.0158954825038298,0.9423434031164042
72,0.05,554.0,Sobol1,0.0048347963596526,0.996199178664176,0.0160265641456706,0.941838706157492
73,0.05,593.0,Sobol1,0.0048511183782538,0.9973304418668874,0.0159723006168612,0.9410495034949018
74,0.05,936.0,Sobol1,0.0048535909170548,0.9977676424641148,0.015820650783308,0.9432578855834296
75,0.05,16.0,Sobol1,0.0048568968161286,0.997239432335848,0.0180531144714361,0.9248568328164636
76,0.15,669.0,Sobol1,0.0048667155918446,0.9979436868558496,0.0154146738197317,0.9484349017558408
77,0.05,794.0,Sobol1,0.0048673174670393,0.9983398858626912,0.0155168322643512,0.9493782128666524
78,0.1,222.0,Sobol1,0.0048691174248047,0.9977689464413128,0.0155233574578759,0.947176078750954
79,0.1,930.0,Sobol1,0.0048832514507345,0.9982110234668852,0.0151494414454781,0.9515532056003873
80,0.15,877.0,Sobol1,0.004888818889858,0.99825316522493,0.0152998960119231,0.9499607583141304
81,0.05,936.0,Sobol1,0.0048904335950962,0.9982333252688512,0.0157154350651453,0.9463708381167968
82,0.05,561.0,Sobol1,0.0049034616016048,0.998793277231791,0.0157357813804735,0.946583499186486
83,0.05,390.0,Sobol1,0.0049254813780031,0.9972095046842888,0.0157853339665219,0.9447682957603524
84,0.05,669.0,Sobol1,0.0049273908331092,0.99858462371257,0.015723443215294,0.9468094239666984
85,0.05,490.0,Sobol1,0.0049370251928515,0.9986356326441256,0.0153910166598583,0.9499853287432404
86,0.05,936.0,Sobol1,0.004950621217698,0.9980797976904686,0.0154171142311711,0.9502174261499928
