,ratio,rndint,dataset,#trees,mape_ist,r2_ist,mape_ost,r2_ost
21629,0.95,147.0,Grid2401,100.0,0.018538418845830552,0.8213977654461262,0.10361389182892813,0.17244084789296832
21630,0.95,147.0,Sobol1,100.0,0.03533915484910632,0.902039026440167,0.03542416811397033,0.8290538629816366
21631,0.95,147.0,Sobol2,100.0,0.03860551365858783,0.9019795550815262,0.035007029762574506,0.8646266382730095
21632,0.95,147.0,Grid1296,250.0,0.02395612504683531,0.889172642250273,0.05639985008943748,0.7154249326907636
21633,0.95,147.0,Grid2401,250.0,0.01845703235425012,0.8222969842816933,0.10355201438206993,0.17270953005999545
21634,0.95,147.0,Sobol1,250.0,0.035823456649059546,0.9004460217991723,0.03544382556823251,0.8302076339891891
21635,0.95,147.0,Sobol2,250.0,0.03882519157488219,0.9003269344044517,0.035054324390483636,0.8641476487947375
21636,0.95,147.0,Grid1296,500.0,0.023659453396393856,0.8917334762672877,0.0560323559438321,0.7197408351917771
21637,0.95,147.0,Grid2401,500.0,0.01831371293791866,0.8215126093259377,0.10354115928576162,0.17194437343904112
21638,0.95,147.0,Sobol1,500.0,0.03623321580265668,0.8983044154203117,0.035533497893451,0.8291086405445053
21639,0.95,147.0,Sobol2,500.0,0.03888110449960147,0.899811271319207,0.03491032825784301,0.865040765954483
21640,0.95,147.0,Grid1296,750.0,0.023639999224623426,0.8918963397364583,0.05601715704753726,0.7196905986662219
21641,0.95,147.0,Grid2401,750.0,0.018360472798821525,0.8219160528628944,0.10357380381738443,0.17181996637756403
21642,0.95,147.0,Sobol1,750.0,0.03652226190967489,0.8968552264964662,0.035661327148531034,0.8280370062102527
21643,0.95,147.0,Sobol2,750.0,0.03880090246403766,0.8999934750822979,0.0347195185494469,0.866413688794697
21644,0.95,147.0,Grid1296,1000.0,0.023481601196921033,0.8937373958178131,0.055798108460765154,0.7223890697063957
21645,0.95,147.0,Grid2401,1000.0,0.018365883671045052,0.8215950161081469,0.10358549983223407,0.17163262296026938
21646,0.95,147.0,Sobol1,1000.0,0.03645067798320586,0.8972968575791658,0.035597890948246606,0.8293984407813468
21647,0.95,147.0,Sobol2,1000.0,0.038768347687426666,0.9001340772239381,0.034674895454585186,0.8669463461234375
21648,0.95,561.0,Grid1296,10.0,0.02140404732192375,0.9365082447787322,0.0495967354013206,0.8156443259716659
21649,0.95,561.0,Grid2401,10.0,0.023993825902566778,0.7024609174649006,0.10167607898370548,0.24233206720780243
21650,0.95,561.0,Sobol1,10.0,0.036625521114746436,0.9009735218317749,0.035857107546248226,0.842716392314444
21651,0.95,561.0,Sobol2,10.0,0.047858017281716465,0.8582009252061865,0.03370752830208936,0.8631032356778539
21652,0.95,561.0,Grid1296,100.0,0.017749722903969967,0.9531861223953834,0.047590369347503166,0.8283331352981937
21653,0.95,561.0,Grid2401,100.0,0.02280876736011448,0.7378994921903785,0.10287498455645695,0.22381927492957276
21654,0.95,561.0,Sobol1,100.0,0.03507160787242281,0.9057142285052482,0.03378560196607246,0.8571527192569003
21655,0.95,561.0,Sobol2,100.0,0.047286795240778945,0.865778336668173,0.03348165058411524,0.8686125902434132
21656,0.95,561.0,Grid1296,250.0,0.01877420369956435,0.9483920055575372,0.047616880687222814,0.8294608830195149
21657,0.95,561.0,Grid2401,250.0,0.022875385253026136,0.749220250751724,0.10276795728094243,0.22729843826192275
21658,0.95,561.0,Sobol1,250.0,0.033597768503503246,0.9144921470150759,0.03258088435298515,0.8697947964456864
21659,0.95,561.0,Sobol2,250.0,0.04679060060051633,0.8698229289597756,0.0333022928726683,0.8713514671952038
21660,0.95,561.0,Grid1296,500.0,0.018925711424715178,0.9467267139648123,0.04795626606009823,0.8260912539129847
21661,0.95,561.0,Grid2401,500.0,0.022744989251467132,0.7603814468598655,0.10269864252923,0.2289802560777735
21662,0.95,561.0,Sobol1,500.0,0.03327382970141501,0.9159430178071684,0.032502912545114254,0.8702279860970421
21663,0.95,561.0,Sobol2,500.0,0.04661838143115531,0.8720706791845236,0.03329367118633396,0.8724183620024115
21664,0.95,561.0,Grid1296,750.0,0.019028372648624413,0.9468255128208286,0.04783320487928218,0.8271509241191736
21665,0.95,561.0,Grid2401,750.0,0.02265690410206653,0.7606634137980276,0.10277036793249394,0.22800732085694897
21666,0.95,561.0,Sobol1,750.0,0.033290079580933093,0.9160062394115364,0.032525224147138064,0.870229618736207
21667,0.95,561.0,Sobol2,750.0,0.04674020540361478,0.8714346336457703,0.033423990718998944,0.8714807679559833
21668,0.95,561.0,Grid1296,1000.0,0.018900766190329942,0.9471428407984301,0.047745262416180254,0.8274855997680309
21669,0.95,561.0,Grid2401,1000.0,0.02249779416379604,0.7638358128229997,0.10271562520219273,0.2285607781059481
21670,0.95,561.0,Sobol1,1000.0,0.0332154313986496,0.9157710720803066,0.032575814821863336,0.8700865273094532
21671,0.95,561.0,Sobol2,1000.0,0.046801063325734193,0.8712524234315722,0.033378350386293276,0.8717947358343526
21672,0.95,237.0,Grid1296,10.0,0.03323339974090922,0.7980897432746431,0.07359632911028839,0.5578474091402508
21673,0.95,237.0,Grid2401,10.0,0.017509893486736136,0.8362077513127504,0.09901104427387258,0.2324237851079518
21674,0.95,237.0,Sobol1,10.0,0.036581633032028965,0.9094314310821685,0.03529529437713089,0.8579781945053491
21675,0.95,237.0,Sobol2,10.0,0.04906936437728068,0.8618188800436681,0.03538515467539861,0.8550168209191303
21676,0.95,237.0,Grid1296,100.0,0.02921968178290113,0.8471923842724312,0.06933885399231335,0.6178724731102028
21677,0.95,237.0,Grid2401,100.0,0.016089718183221826,0.8497069645550548,0.09517389845716769,0.29335986887513255
21678,0.95,237.0,Sobol1,100.0,0.03211059746683673,0.9294710047348756,0.032383496823352766,0.8803876445577176
21679,0.95,237.0,Sobol2,100.0,0.04312633801145633,0.8847109867484753,0.03224676670214682,0.878461540313574
21680,0.95,237.0,Grid1296,250.0,0.02918821137271309,0.8469018922777825,0.06918186219642658,0.6149848798100824
21681,0.95,237.0,Grid2401,250.0,0.016000584747468887,0.8490797252650836,0.09645755710392633,0.2731993120338597
21682,0.95,237.0,Sobol1,250.0,0.03213401441865098,0.9293347633367066,0.032832891170507,0.876195434841093
21683,0.95,237.0,Sobol2,250.0,0.04263989663608741,0.8883349974587635,0.0318355207468588,0.882374570336414
21684,0.95,237.0,Grid1296,500.0,0.029029193455386283,0.8461261946234031,0.0689314313899126,0.6150790951977263
21685,0.95,237.0,Grid2401,500.0,0.015740762901192577,0.8498368791925921,0.09652426852899695,0.2713105244034727
21686,0.95,237.0,Sobol1,500.0,0.03196078130050221,0.9301768499462243,0.03276968034873096,0.8773909851061457
21687,0.95,237.0,Sobol2,500.0,0.042396671846207316,0.8885151310915207,0.03192359467306189,0.8813711077872453
21688,0.95,237.0,Grid1296,750.0,0.028839694465634766,0.8459274847505416,0.06871197856993867,0.6150684979079507
21689,0.95,237.0,Grid2401,750.0,0.015562833139210449,0.8518005912452741,0.09615118657888823,0.27669609700489417
21690,0.95,237.0,Sobol1,750.0,0.03170638226608468,0.9313958150963604,0.03254099878683881,0.8791047691613172
21691,0.95,237.0,Sobol2,750.0,0.04227828337101939,0.889808122517571,0.03192458457364203,0.8819447100247712
21692,0.95,237.0,Grid1296,1000.0,0.02882011672334024,0.8454950640773262,0.06879113789840656,0.614324073890804
