,ratio,rndint,dataset,mape_ist,r2_ist,mape_ost,r2_ost
62,0.05,16.0,Sobol1,0.09205565499616689,0.5445069671427347,0.092849383138447,0.4002820746516359
63,0.05,16.0,Sobol2,0.09999777036097653,0.4936476158797457,0.09383101676744268,0.3719774277043847
64,0.05,669.0,Grid1296,0.06605078490794289,0.5391804973243676,0.09623841452289296,0.40257053377000585
65,0.05,669.0,Grid2401,0.04582962265598514,0.695283430023145,0.11983640944002519,0.05940574656801889
66,0.05,669.0,Sobol1,0.12722950165379135,0.4551433167038922,0.09262221650894745,0.4021094032057061
67,0.05,669.0,Sobol2,0.09377280293412699,0.6230880922664251,0.0931947626296891,0.3790491803699433
68,0.05,530.0,Grid1296,0.06665603000149031,0.433938856965395,0.09625257466961248,0.4072942238053743
69,0.05,530.0,Grid2401,0.04736364856919773,0.5955266915971063,0.1197218539091451,0.0629755003949386
70,0.05,530.0,Sobol1,0.0942146593476849,0.4703534498883296,0.09300819353898314,0.3983426299997005
71,0.05,530.0,Sobol2,0.11501167681474476,0.5687120792294116,0.09337673463449589,0.37693092843738873
72,0.05,999.0,Grid1296,0.07913309795996429,0.4632032397867998,0.0962999572226165,0.39853702707584104
73,0.05,999.0,Grid2401,0.04093424062582453,0.675192403832155,0.11963583334396058,0.0640530291590734
74,0.05,999.0,Sobol1,0.1287232897442286,0.4455971058813947,0.09221430937489812,0.4055846667955477
75,0.05,999.0,Sobol2,0.09935902170254611,0.48874433050591537,0.09365500542617144,0.3742656609377798
76,0.05,794.0,Grid1296,0.055293262707393986,0.48294623437879824,0.09632533401209094,0.4044886597078021
77,0.05,794.0,Grid2401,0.04403018785782785,0.6105344229063043,0.119931607177092,0.05906247148163102
78,0.05,794.0,Sobol1,0.09185860952499945,0.5167291705476343,0.092889770248991,0.39970996452212526
79,0.05,794.0,Sobol2,0.12053293818110754,0.40492547364492826,0.09338773364646974,0.37682405796247676
80,0.05,936.0,Grid1296,0.05322957447530959,0.6284691639444906,0.09630332450846953,0.40647335200984025
81,0.05,936.0,Grid2401,0.04205801927323054,0.6105009362939543,0.11954345349637524,0.06438715605348899
82,0.05,936.0,Sobol1,0.10249191511221872,0.44105865106947306,0.09278474024763768,0.4006167751494387
83,0.05,936.0,Sobol2,0.1245736545666389,0.54000750748168,0.09299004249007954,0.38114459433254844
84,0.05,111.0,Grid1296,0.06593869039436476,0.6515032917811377,0.096155409337725,0.40195880735719913
85,0.05,111.0,Grid2401,0.05043526781850511,0.6555321683113592,0.11996876859066447,0.056782259108204
86,0.05,111.0,Sobol1,0.10618730962381147,0.4912026525759867,0.09276397416490392,0.4004713727135838
87,0.05,111.0,Sobol2,0.12527481429237874,0.6139421119841446,0.09333628448343995,0.37668532367883245
88,0.05,816.0,Grid1296,0.07505954330512209,0.5980986203885982,0.09618447107078867,0.4028536224916538
89,0.05,816.0,Grid2401,0.04245333462565825,0.5281909402314721,0.11992908998068866,0.05981037879688378
90,0.05,816.0,Sobol1,0.09903256703293074,0.5389036929626196,0.0927385563388873,0.4010507814247911
91,0.05,816.0,Sobol2,0.12388237902129179,0.45316856501812897,0.09368704528494476,0.3739208516574085
92,0.05,968.0,Grid1296,0.04845644082062472,0.4347377782502212,0.09626243994617964,0.407595911953331
93,0.05,968.0,Grid2401,0.04516859924076425,0.7106662019888874,0.11952349801348995,0.06464799399307464
94,0.05,968.0,Sobol1,0.09420328984935479,0.4523471825065972,0.09316310581034815,0.39692945788023126
95,0.05,968.0,Sobol2,0.10195134368880596,0.6115813672732751,0.09330920319486921,0.37752515600068026
96,0.05,48.0,Grid1296,0.05805664561813104,0.60261660484571,0.0963041704490086,0.4073493927023837
97,0.05,48.0,Grid2401,0.04974797504020308,0.42602306466623574,0.11991447869718265,0.05979459447166324
98,0.05,48.0,Sobol1,0.103938323093177,0.561843065658677,0.0925907151709982,0.4026407133796105
99,0.05,48.0,Sobol2,0.10927676372522577,0.5620442452349119,0.09334654646608509,0.37718095534720386
100,0.05,986.0,Grid1296,0.05397680442575078,0.6463093624554961,0.09624881596442551,0.4077029294924497
101,0.05,986.0,Grid2401,0.041897476733940085,0.6631175605084056,0.11949780061458133,0.0661552740546969
102,0.05,986.0,Sobol1,0.11663458011926428,0.552623479513078,0.0924992308102186,0.4034896017046299
103,0.05,986.0,Sobol2,0.11709074722631108,0.49147999847042045,0.09339045262910751,0.37706114573564453
104,0.05,829.0,Grid1296,0.05895904449374699,0.48508443477686747,0.09629413228738665,0.40737470677257226
105,0.05,829.0,Grid2401,0.04145485789790027,0.6679455533309873,0.12022330043270606,0.0533240458785863
106,0.05,829.0,Sobol1,0.09959096938516522,0.5254479203079563,0.09261623266881631,0.4022419850018961
107,0.05,829.0,Sobol2,0.1191038536324904,0.48200750074255205,0.09325338236504424,0.3782730721783475
108,0.05,996.0,Grid1296,0.05145325933063953,0.5846915634857974,0.09621508076852646,0.40953632671856666
109,0.05,996.0,Grid2401,0.04878753759304575,0.6820576398726468,0.1204679261926777,0.049279132444810636
110,0.05,996.0,Sobol1,0.11946047181943226,0.5272495733603566,0.09247387223152916,0.4038189131017971
111,0.05,996.0,Sobol2,0.09418067386671995,0.5015514873082194,0.0938306283229127,0.3718366786102315
112,0.05,272.0,Grid1296,0.052046269534601244,0.3567410666447828,0.09630927283131863,0.40956505101700513
113,0.05,272.0,Grid2401,0.038997009784350875,0.6401871892426705,0.11953708877734026,0.06588921566040895
114,0.05,272.0,Sobol1,0.09966272542237338,0.5411321130613171,0.09270839210279991,0.4015235395409351
115,0.05,272.0,Sobol2,0.1435615301072825,0.544184782073184,0.0930145789827093,0.38165831326761046
116,0.05,759.0,Grid1296,0.05123529967289635,0.4414914317087858,0.09630794584829307,0.40694532217224144
117,0.05,759.0,Grid2401,0.04340644740690762,0.6645277923689259,0.11943336088097799,0.06710108824365357
118,0.05,759.0,Sobol1,0.09479946059060551,0.6537381940178351,0.09257545727673047,0.4028290531254691
119,0.05,759.0,Sobol2,0.10895498804432985,0.5567928405828407,0.09344471109997682,0.37618949167597937
120,0.05,390.0,Grid1296,0.05893927830005103,0.5972682724572558,0.09633883795250207,0.4054446954850186
121,0.05,390.0,Grid2401,0.042372694278189627,0.656790949507344,0.11964815231978673,0.06306985921683317
122,0.05,390.0,Sobol1,0.109079052938685,0.5177548517844703,0.09276952652149635,0.40090927629200857
123,0.05,390.0,Sobol2,0.11262978545541714,0.6462846679597969,0.09335421852395849,0.37754935470230466
124,0.05,930.0,Grid1296,0.052570800853967085,0.5452013292125866,0.09623545447403842,0.4060465445471598
125,0.05,930.0,Grid2401,0.04275305556531527,0.7051424452680934,0.11959290261564352,0.06323862179682427
126,0.05,930.0,Sobol1,0.08892676472830682,0.6422227210565361,0.09271656270198857,0.4017136826615495
127,0.05,930.0,Sobol2,0.11234331780021928,0.5391713897185714,0.09341400883765108,0.3764517364678307
128,0.05,633.0,Grid1296,0.05332137995424408,0.6067908210922259,0.09627845654121248,0.4074823404413105
129,0.05,633.0,Grid2401,0.04236505965922316,0.6959495196927931,0.12018784912758468,0.053633453841708034
130,0.05,633.0,Sobol1,0.10338324648779758,0.4897376022420582,0.09265452729601935,0.4017673291498608
131,0.05,633.0,Sobol2,0.10989287421284756,0.5356034988473424,0.0933488535305602,0.37741918214125303
132,0.05,928.0,Grid1296,0.06489910483994722,0.5411815906138313,0.09631317692928633,0.40522072378438867
133,0.05,928.0,Grid2401,0.03906327984112578,0.7742828850920359,0.11936661400688414,0.06698019345340567
134,0.05,928.0,Sobol1,0.09705511925988869,0.6500630994454181,0.09251678644780008,0.4036485160804901
135,0.05,928.0,Sobol2,0.10632461366975886,0.5453020520523542,0.09309711489735875,0.3802096222325092
136,0.05,854.0,Grid1296,0.05967359872959994,0.6241248661922455,0.0961201189846517,0.40613344900260884
137,0.05,854.0,Grid2401,0.04873286309272854,0.6285658599206476,0.12017706222264393,0.05392504352387861
138,0.05,854.0,Sobol1,0.10506348852075345,0.43348388741744204,0.09280206254285095,0.40027908058164174
139,0.05,854.0,Sobol2,0.09614894531600127,0.4228286735631154,0.09362694859603064,0.3740574283165172
140,0.05,554.0,Grid1296,0.058707790968524125,0.5747711443370157,0.09630377034302857,0.40694151195353967
