,ratio,rndint,dataset,rmse,mape,r2,rmse_all,mape_all,r2_all
17,0.05,588.0,Grid2401,41.02551425718641,0.04274382379783425,0.6883827001951205,101.57836653812436,0.11846876635108504,0.06801329593806149
18,0.05,588.0,Sobol1,83.89741804859742,0.11690201691288998,0.46472509595097455,71.57344462468657,0.09310110923020253,0.40452606874209074
19,0.05,588.0,Sobol2,70.71447231187543,0.09989831787912623,0.6034280458437153,71.8064521320147,0.09338756354272709,0.38442538768788304
20,0.05,951.0,Grid1296,58.685614210216904,0.0672474632878456,0.5762039872415063,78.65746091001884,0.09597006802713141,0.40588221722514173
21,0.05,951.0,Grid2401,35.054890675110364,0.03823628576885505,0.7653893338962698,101.13735588527311,0.1179429868990666,0.07483518879908602
22,0.05,951.0,Sobol1,93.7199984034269,0.14143004091714895,0.5647850359759803,71.49061778723707,0.09305978962824832,0.41668214170512186
23,0.05,951.0,Sobol2,88.99349690232165,0.13782884997766623,0.37936179282790783,72.03630064447027,0.09388670384523105,0.38266848375576545
24,0.05,490.0,Grid1296,45.82503091525948,0.05521709162128954,0.4478883889584976,78.29496757325705,0.09579165778362354,0.40889718172694733
25,0.05,490.0,Grid2401,46.283706619478295,0.04856838472237961,0.5450795636394317,101.98277939839916,0.11906783146015032,0.057656837460781984
26,0.05,490.0,Sobol1,74.11277191702911,0.09954034413725633,0.5485197834840589,71.28549462028256,0.09262826157367463,0.40803942793599723
27,0.05,490.0,Sobol2,83.1028414700781,0.11908471628976729,0.49526774940909457,72.34056104854709,0.09419195856844431,0.37614414379435424
28,0.05,395.0,Grid1296,58.20078231857644,0.06462456040579383,0.49413609428847627,78.73233310402199,0.09588038749812483,0.40392493857418865
29,0.05,395.0,Grid2401,37.44631558940455,0.04384932300921992,0.6949456328881892,101.27604438362796,0.11824715285736452,0.0701701673064955
30,0.05,395.0,Sobol1,72.29429787064085,0.10005799795662737,0.6094992436868287,71.29924369065978,0.09280367316965014,0.40952138900066914
31,0.05,395.0,Sobol2,85.84472572251009,0.12163104605618742,0.5541990567574951,72.08867588227598,0.09380026539671256,0.38470670554300024
32,0.05,877.0,Grid1296,56.7070381582497,0.06809104139358568,0.24840771416413265,78.66956250408076,0.09603290187379139,0.40354419639251615
33,0.05,877.0,Grid2401,37.409948987428706,0.040868913047704625,0.7271034267645169,101.30963681554795,0.1181628241129439,0.0717556329523954
34,0.05,877.0,Sobol1,75.21412322366712,0.10743142669833301,0.5511307124161342,71.28354429294977,0.09278728226561787,0.4090470955010105
35,0.05,877.0,Sobol2,73.27875773228033,0.09672224338738385,0.42452943393645526,72.37253781208828,0.09414913096913426,0.3699785908243596
36,0.05,297.0,Grid1296,56.35065319273746,0.06672270534139715,0.491631138298239,78.32192315289281,0.09586856415689235,0.40985593623506533
37,0.05,297.0,Grid2401,31.71126977185349,0.037597068731441315,0.7519921439289791,100.83654523435308,0.11767875965209125,0.07882161796399079
38,0.05,297.0,Sobol1,86.2179952100726,0.1220565018373713,0.5105858211744119,71.61050920921637,0.0931860600070124,0.4073160018416704
39,0.05,297.0,Sobol2,66.39119744360207,0.09104596007724745,0.5618600267472983,71.89269595069882,0.09350916491251429,0.38013021033324756
40,0.05,721.0,Grid1296,61.446218378389226,0.07971525248082532,0.4353275691834785,78.71177545702201,0.09619077156690795,0.40461637279366913
41,0.05,721.0,Grid2401,36.42733795313913,0.04170121949909225,0.7160667571955114,101.48677775798933,0.1184553813813491,0.06636704311036978
42,0.05,721.0,Sobol1,88.47702948779254,0.13291852543062072,0.4439720868772702,71.56296161669839,0.09321077379397498,0.4078920833967089
43,0.05,721.0,Sobol2,69.06213402239229,0.09129202481638107,0.41753596264220827,72.40573419159905,0.09419268981754038,0.36859407851045445
44,0.05,711.0,Grid1296,48.72559094895726,0.06016344052309793,0.4226436752909083,78.264153352835,0.09595791976646208,0.4095170644376004
45,0.05,711.0,Grid2401,44.37262795125033,0.04798529214253229,0.5877759192269096,101.5812479509338,0.11864918592381939,0.06589127680132112
46,0.05,711.0,Sobol1,75.53397545986893,0.1025454893745947,0.5429685491204796,71.26871634778665,0.09263050472231317,0.4094279661307282
