,SigC,SigH,EpsC,EpsH,density
171,0.075,0.2503,0.9037,0.09,610.226
172,0.075,0.2503,0.9037,0.11,611.014
173,0.075,0.2503,0.9037,0.13,621.655
174,0.075,0.2503,1.068,0.03,603.372
175,0.075,0.2503,1.068,0.05,599.976
176,0.075,0.2503,1.068,0.07,600.955
177,0.075,0.2503,1.068,0.09,609.561
178,0.075,0.2503,1.068,0.11,617.298
179,0.075,0.2503,1.068,0.13,622.336
180,0.075,0.2958,0.2465,0.03,380.457
186,0.075,0.2958,0.4108,0.03,391.884
192,0.075,0.2958,0.5751,0.03,374.413
198,0.075,0.2958,0.7394,0.03,396.062
204,0.075,0.2958,0.9037,0.03,396.925
210,0.075,0.2958,1.068,0.03,389.132
216,0.125,0.0683,0.2465,0.03,632.032
217,0.125,0.0683,0.2465,0.05,632.127
218,0.125,0.0683,0.2465,0.07,637.2
219,0.125,0.0683,0.2465,0.09,631.436
220,0.125,0.0683,0.2465,0.11,639.602
221,0.125,0.0683,0.2465,0.13,631.167
222,0.125,0.0683,0.4108,0.03,641.432
223,0.125,0.0683,0.4108,0.05,630.857
224,0.125,0.0683,0.4108,0.07,628.198
225,0.125,0.0683,0.4108,0.09,635.797
226,0.125,0.0683,0.4108,0.11,628.612
227,0.125,0.0683,0.4108,0.13,635.796
228,0.125,0.0683,0.5751,0.03,629.047
229,0.125,0.0683,0.5751,0.05,632.128
230,0.125,0.0683,0.5751,0.07,635.979
231,0.125,0.0683,0.5751,0.09,632.083
232,0.125,0.0683,0.5751,0.11,630.309
233,0.125,0.0683,0.5751,0.13,634.93
234,0.125,0.0683,0.7394,0.03,637.204
235,0.125,0.0683,0.7394,0.05,637.481
236,0.125,0.0683,0.7394,0.07,642.171
237,0.125,0.0683,0.7394,0.09,630.594
238,0.125,0.0683,0.7394,0.11,635.279
239,0.125,0.0683,0.7394,0.13,630.808
240,0.125,0.0683,0.9037,0.03,625.977
241,0.125,0.0683,0.9037,0.05,635.796
242,0.125,0.0683,0.9037,0.07,636.121
243,0.125,0.0683,0.9037,0.09,636.89
244,0.125,0.0683,0.9037,0.11,636.687
245,0.125,0.0683,0.9037,0.13,631.175
246,0.125,0.0683,1.068,0.03,634.526
247,0.125,0.0683,1.068,0.05,639.748
248,0.125,0.0683,1.068,0.07,632.154
249,0.125,0.0683,1.068,0.09,633.792
250,0.125,0.0683,1.068,0.11,641.06
251,0.125,0.0683,1.068,0.13,637.471
252,0.125,0.1138,0.2465,0.03,634.848
253,0.125,0.1138,0.2465,0.05,638.674
254,0.125,0.1138,0.2465,0.07,630.893
255,0.125,0.1138,0.2465,0.09,639.961
256,0.125,0.1138,0.2465,0.11,640.664
257,0.125,0.1138,0.2465,0.13,638.982
258,0.125,0.1138,0.4108,0.03,633.148
259,0.125,0.1138,0.4108,0.05,628.19
260,0.125,0.1138,0.4108,0.07,630.419
261,0.125,0.1138,0.4108,0.09,644.177
262,0.125,0.1138,0.4108,0.11,638.908
263,0.125,0.1138,0.4108,0.13,637.548
264,0.125,0.1138,0.5751,0.03,631.32
265,0.125,0.1138,0.5751,0.05,634.947
266,0.125,0.1138,0.5751,0.07,634.889
267,0.125,0.1138,0.5751,0.09,635.663
268,0.125,0.1138,0.5751,0.11,632.41
269,0.125,0.1138,0.5751,0.13,632.223
270,0.125,0.1138,0.7394,0.03,636.053
271,0.125,0.1138,0.7394,0.05,640.328
272,0.125,0.1138,0.7394,0.07,632.464
273,0.125,0.1138,0.7394,0.09,637.831
274,0.125,0.1138,0.7394,0.11,640.374
275,0.125,0.1138,0.7394,0.13,643.432
276,0.125,0.1138,0.9037,0.03,637.607
277,0.125,0.1138,0.9037,0.05,632.981
278,0.125,0.1138,0.9037,0.07,639.454
279,0.125,0.1138,0.9037,0.09,641.335
280,0.125,0.1138,0.9037,0.11,636.009
281,0.125,0.1138,0.9037,0.13,636.281
282,0.125,0.1138,1.068,0.03,643.511
283,0.125,0.1138,1.068,0.05,640.529
284,0.125,0.1138,1.068,0.07,635.3
285,0.125,0.1138,1.068,0.09,637.214
286,0.125,0.1138,1.068,0.11,635.283
287,0.125,0.1138,1.068,0.13,643.271
288,0.125,0.1593,0.2465,0.03,642.949
289,0.125,0.1593,0.2465,0.05,647.679
290,0.125,0.1593,0.2465,0.07,653.055
291,0.125,0.1593,0.2465,0.09,652.402
292,0.125,0.1593,0.2465,0.11,650.272
293,0.125,0.1593,0.2465,0.13,654.273
294,0.125,0.1593,0.4108,0.03,642.35
295,0.125,0.1593,0.4108,0.05,637.087
296,0.125,0.1593,0.4108,0.07,647.322
297,0.125,0.1593,0.4108,0.09,655.775
298,0.125,0.1593,0.4108,0.11,650.92
299,0.125,0.1593,0.4108,0.13,654.836
300,0.125,0.1593,0.5751,0.03,639.209
301,0.125,0.1593,0.5751,0.05,644.308
302,0.125,0.1593,0.5751,0.07,647.441
303,0.125,0.1593,0.5751,0.09,651.332
304,0.125,0.1593,0.5751,0.11,656.145
305,0.125,0.1593,0.5751,0.13,658.674
306,0.125,0.1593,0.7394,0.03,641.03
307,0.125,0.1593,0.7394,0.05,642.068
308,0.125,0.1593,0.7394,0.07,650.082
309,0.125,0.1593,0.7394,0.09,654.978
310,0.125,0.1593,0.7394,0.11,654.916
311,0.125,0.1593,0.7394,0.13,659.376
312,0.125,0.1593,0.9037,0.03,647.183
313,0.125,0.1593,0.9037,0.05,648.011
314,0.125,0.1593,0.9037,0.07,653.259
315,0.125,0.1593,0.9037,0.09,639.675
316,0.125,0.1593,0.9037,0.11,653.74
317,0.125,0.1593,0.9037,0.13,660.487
318,0.125,0.1593,1.068,0.03,644.184
319,0.125,0.1593,1.068,0.05,644.069
320,0.125,0.1593,1.068,0.07,649.609
321,0.125,0.1593,1.068,0.09,654.558
322,0.125,0.1593,1.068,0.11,653.755
323,0.125,0.1593,1.068,0.13,658.693
324,0.125,0.2048,0.2465,0.03,643.651
325,0.125,0.2048,0.2465,0.05,649.645
326,0.125,0.2048,0.2465,0.07,661.868
327,0.125,0.2048,0.2465,0.09,668.862
328,0.125,0.2048,0.2465,0.11,684.78
329,0.125,0.2048,0.2465,0.13,687.233
330,0.125,0.2048,0.4108,0.03,646.885
331,0.125,0.2048,0.4108,0.05,651.92
332,0.125,0.2048,0.4108,0.07,663.698
333,0.125,0.2048,0.4108,0.09,666.137
334,0.125,0.2048,0.4108,0.11,682.441
335,0.125,0.2048,0.4108,0.13,685.771
336,0.125,0.2048,0.5751,0.03,646.639
337,0.125,0.2048,0.5751,0.05,647.777
338,0.125,0.2048,0.5751,0.07,664.099
339,0.125,0.2048,0.5751,0.09,673.762
340,0.125,0.2048,0.5751,0.11,678.612
341,0.125,0.2048,0.5751,0.13,687.593
342,0.125,0.2048,0.7394,0.03,647.279
343,0.125,0.2048,0.7394,0.05,656.403
344,0.125,0.2048,0.7394,0.07,663.936
345,0.125,0.2048,0.7394,0.09,673.317
346,0.125,0.2048,0.7394,0.11,673.045
347,0.125,0.2048,0.7394,0.13,687.673
348,0.125,0.2048,0.9037,0.03,647.278
349,0.125,0.2048,0.9037,0.05,656.304
350,0.125,0.2048,0.9037,0.07,663.681
351,0.125,0.2048,0.9037,0.09,676.246
352,0.125,0.2048,0.9037,0.11,684.74
353,0.125,0.2048,0.9037,0.13,684.275
354,0.125,0.2048,1.068,0.03,642.844
355,0.125,0.2048,1.068,0.05,648.621
356,0.125,0.2048,1.068,0.07,663.652
357,0.125,0.2048,1.068,0.09,672.624
358,0.125,0.2048,1.068,0.11,681.223
359,0.125,0.2048,1.068,0.13,687.34
360,0.125,0.2503,0.2465,0.03,601.477
361,0.125,0.2503,0.2465,0.05,601.567
362,0.125,0.2503,0.2465,0.07,610.522
363,0.125,0.2503,0.2465,0.09,609.591
364,0.125,0.2503,0.2465,0.11,618.254
365,0.125,0.2503,0.2465,0.13,624.427
366,0.125,0.2503,0.4108,0.03,599.298
367,0.125,0.2503,0.4108,0.05,602.635
368,0.125,0.2503,0.4108,0.07,606.78
369,0.125,0.2503,0.4108,0.09,606.017
370,0.125,0.2503,0.4108,0.11,617.864
371,0.125,0.2503,0.4108,0.13,623.335
372,0.125,0.2503,0.5751,0.03,603.706
373,0.125,0.2503,0.5751,0.05,601.232
374,0.125,0.2503,0.5751,0.07,599.564
375,0.125,0.2503,0.5751,0.09,608.768
376,0.125,0.2503,0.5751,0.11,617.225
377,0.125,0.2503,0.5751,0.13,622.249
378,0.125,0.2503,0.7394,0.03,604.751
379,0.125,0.2503,0.7394,0.05,601.113
380,0.125,0.2503,0.7394,0.07,605.435
381,0.125,0.2503,0.7394,0.09,607.316
382,0.125,0.2503,0.7394,0.11,614.281
383,0.125,0.2503,0.7394,0.13,625.245
384,0.125,0.2503,0.9037,0.03,595.963
385,0.125,0.2503,0.9037,0.05,603.403
386,0.125,0.2503,0.9037,0.07,607.666
387,0.125,0.2503,0.9037,0.09,610.474
388,0.125,0.2503,0.9037,0.11,618.039
389,0.125,0.2503,0.9037,0.13,618.223
390,0.125,0.2503,1.068,0.03,601.915
391,0.125,0.2503,1.068,0.05,599.282
392,0.125,0.2503,1.068,0.07,607.832
393,0.125,0.2503,1.068,0.09,607.532
394,0.125,0.2503,1.068,0.11,616.474
395,0.125,0.2503,1.068,0.13,624.09
396,0.125,0.2958,0.2465,0.03,373.863
402,0.125,0.2958,0.4108,0.03,381.325
408,0.125,0.2958,0.5751,0.03,405.509
414,0.125,0.2958,0.7394,0.03,386.012
420,0.125,0.2958,0.9037,0.03,389.412
426,0.125,0.2958,1.068,0.03,388.361
432,0.175,0.0683,0.2465,0.03,637.674
433,0.175,0.0683,0.2465,0.05,636.542
434,0.175,0.0683,0.2465,0.07,636.833
435,0.175,0.0683,0.2465,0.09,641.156
436,0.175,0.0683,0.2465,0.11,638.998
437,0.175,0.0683,0.2465,0.13,637.47
438,0.175,0.0683,0.4108,0.03,641.93
439,0.175,0.0683,0.4108,0.05,638.01
440,0.175,0.0683,0.4108,0.07,636.612
441,0.175,0.0683,0.4108,0.09,637.536
442,0.175,0.0683,0.4108,0.11,644.871
443,0.175,0.0683,0.4108,0.13,638.465
444,0.175,0.0683,0.5751,0.03,639.668
445,0.175,0.0683,0.5751,0.05,647.597
446,0.175,0.0683,0.5751,0.07,638.466
447,0.175,0.0683,0.5751,0.09,641.927
448,0.175,0.0683,0.5751,0.11,637.601
449,0.175,0.0683,0.5751,0.13,638.29
450,0.175,0.0683,0.7394,0.03,639.999
451,0.175,0.0683,0.7394,0.05,646.165
452,0.175,0.0683,0.7394,0.07,640.575
453,0.175,0.0683,0.7394,0.09,641.266
454,0.175,0.0683,0.7394,0.11,646.418
455,0.175,0.0683,0.7394,0.13,642.551
456,0.175,0.0683,0.9037,0.03,643.326
457,0.175,0.0683,0.9037,0.05,643.991
458,0.175,0.0683,0.9037,0.07,649.545
459,0.175,0.0683,0.9037,0.09,646.362
460,0.175,0.0683,0.9037,0.11,639.804
461,0.175,0.0683,0.9037,0.13,644.91
462,0.175,0.0683,1.068,0.03,643.542
463,0.175,0.0683,1.068,0.05,645.349
464,0.175,0.0683,1.068,0.07,648.285
465,0.175,0.0683,1.068,0.09,641.173
466,0.175,0.0683,1.068,0.11,641.97
467,0.175,0.0683,1.068,0.13,646.766
468,0.175,0.1138,0.2465,0.03,636.217
469,0.175,0.1138,0.2465,0.05,638.979
470,0.175,0.1138,0.2465,0.07,638.162
471,0.175,0.1138,0.2465,0.09,641.348
472,0.175,0.1138,0.2465,0.11,642.773
473,0.175,0.1138,0.2465,0.13,640.864
474,0.175,0.1138,0.4108,0.03,637.915
475,0.175,0.1138,0.4108,0.05,643.753
476,0.175,0.1138,0.4108,0.07,640.627
477,0.175,0.1138,0.4108,0.09,645.057
478,0.175,0.1138,0.4108,0.11,639.419
479,0.175,0.1138,0.4108,0.13,641.693
480,0.175,0.1138,0.5751,0.03,644.208
481,0.175,0.1138,0.5751,0.05,641.854
482,0.175,0.1138,0.5751,0.07,643.618
483,0.175,0.1138,0.5751,0.09,646.556
484,0.175,0.1138,0.5751,0.11,646.724
485,0.175,0.1138,0.5751,0.13,646.813
486,0.175,0.1138,0.7394,0.03,643.023
487,0.175,0.1138,0.7394,0.05,645.046
488,0.175,0.1138,0.7394,0.07,647.65
489,0.175,0.1138,0.7394,0.09,645.7
490,0.175,0.1138,0.7394,0.11,643.205
491,0.175,0.1138,0.7394,0.13,647.315
492,0.175,0.1138,0.9037,0.03,649.659
493,0.175,0.1138,0.9037,0.05,645.233
494,0.175,0.1138,0.9037,0.07,648.916
495,0.175,0.1138,0.9037,0.09,650.837
496,0.175,0.1138,0.9037,0.11,650.089
497,0.175,0.1138,0.9037,0.13,648.692
498,0.175,0.1138,1.068,0.03,642.358
499,0.175,0.1138,1.068,0.05,650.702
